日期,排名,极度推荐,极度推荐排名,V1.50极度分,V1.50优选分,V1.50当前强度,V1.50结构确认,V1.50修复质量,V1.50启动质量,V1.50量价协同,V1.50超热扣分,涨停基因分,原极度推荐分,代码,名称,推荐度,今日涨跌%,相对强度,RSI14,KDJ状态,20日涨幅%,60日高点回撤%,关注理由
2026-08-28,2,极度推荐,2,83.8,82.7,59.8,95.0,90.0,94.1,100.0,0.0,46.1,76.8,000990,诚志股份,76.7,2.93,54.6,54.95,多头,3.57,-6.57,当前仍站在20日线之上，20日线相对60日线高约2.2%，但短线均线结构还不算特别强。近20日上涨约3.6%，近5日约4.5%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.75，前期有明显缩量，而当前量比约1.48，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2026-08-28,3,极度推荐,3,83.7,82.2,59.0,100.0,90.0,91.1,95.0,0.0,61.5,79.2,605388,均瑶健康,74.4,2.62,53.3,59.52,多头,0.81,-8.08,当前仍站在20日线之上，20日线相对60日线高约11.6%，但短线均线结构还不算特别强。近20日上涨约0.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.37，前期有明显缩量，而当前量比约1.36，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-31,1,极度推荐,1,80.5,79.7,66.3,70.0,90.0,89.1,95.0,0.0,67.9,81.3,002474,榕基软件,71.9,0.47,52.3,52.38,多头,1.76,-13.57,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约1.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.50，前期有明显缩量，而当前量比约1.10，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有14次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-31,2,极度推荐,2,78.2,80.5,65.5,85.0,90.0,100.0,95.0,5.0,56.1,74.0,002659,凯文教育,72.9,1.31,52.0,57.2,多头,0.65,-10.77,当前仍站在20日线之上，20日线相对60日线高约10.2%，但短线均线结构还不算特别强。近20日上涨约0.7%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.42，前期有明显缩量，而当前量比约1.04，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-31,3,极度推荐,3,77.3,76.6,62.9,57.0,90.0,89.1,100.0,0.0,60.4,82.8,002195,岩山科技,67.5,1.1,48.5,47.6,多头,-5.97,-12.7,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-6.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.57，前期有明显缩量，而当前量比约1.08，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-01,1,极度推荐,1,78.3,77.4,60.8,57.0,96.0,93.1,100.0,0.0,48.3,82.8,002242,九阳股份,60.7,0.23,45.3,47.6,多头,-5.9,-9.18,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.59，前期有明显缩量，而当前量比约1.07，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-01,2,极度推荐,2,78.3,77.2,58.2,57.0,100.0,93.1,95.0,0.0,69.2,85.3,002546,新联电子,65.8,0.38,42.6,47.95,多头,-8.85,-11.56,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.51，前期有明显缩量，而当前量比约1.03，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-03,1,极度推荐,1,79.2,78.2,64.1,70.0,87.0,89.1,100.0,0.0,64.5,80.8,600863,华能蒙电,54.8,1.07,51.1,48.21,多头,-0.21,-16.85,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-0.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.36，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-08,1,极度推荐,1,83.8,82.3,58.6,95.0,91.0,94.1,100.0,0.0,59.2,84.0,002030,达安基因,59.8,2.55,52.8,53.45,多头,0.36,-5.86,当前仍站在20日线之上，20日线相对60日线高约3.5%，但短线均线结构还不算特别强。近20日上涨约0.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.60，前期有明显缩量，而当前量比约1.54，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-08,2,极度推荐,2,76.8,76.4,67.7,70.0,75.0,89.1,95.0,0.0,55.8,73.7,000936,华西股份,74.4,1.59,55.0,54.07,多头,9.73,-17.5,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约9.7%，近5日约0.5%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.49，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-09,1,极度推荐,1,84.4,82.6,65.0,100.0,86.0,91.1,100.0,0.0,50.4,78.9,000630,铜陵有色,44.7,0.46,51.4,51.69,多头,-0.9,-18.08,当前仍站在20日线之上，20日线相对60日线高约1.7%，但短线均线结构还不算特别强。近20日上涨约-0.9%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.89，量能处于收缩状态，但当前量比约1.30，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-09,2,极度推荐,2,82.3,80.7,65.1,100.0,80.0,85.1,100.0,0.0,52.6,76.3,000546,金圆股份,51.5,1.7,52.5,54.4,多头,-0.21,-15.82,当前仍站在20日线之上，20日线相对60日线高约1.5%，但短线均线结构还不算特别强。近20日上涨约-0.2%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.89，量能处于收缩状态，但当前量比约1.31，启动力度还需要继续观察。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-11,1,极度推荐,1,73.8,73.1,64.9,52.0,93.0,72.1,100.0,0.0,71.9,79.1,000595,新能股份,42.1,1.28,52.6,45.48,空头,-7.04,-23.13,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.31，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-17,1,极度推荐,1,81.6,80.2,61.6,95.0,91.0,78.1,95.0,0.0,40.0,75.6,002045,国光电器,68.1,3.27,64.4,55.42,多头,10.51,-8.32,当前仍站在20日线之上，20日线相对60日线高约8.3%，但短线均线结构还不算特别强。近20日上涨约10.5%，近5日约2.6%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.50，前期有明显缩量，而当前量比约1.11，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-17,2,极度推荐,2,77.8,77.4,74.4,57.0,83.0,79.7,100.0,0.0,59.3,79.1,002638,勤上股份,57.7,2.42,63.5,53.47,多头,12.8,-12.24,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约12.8%，近5日约1.7%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.58，前期有明显缩量，而当前量比约1.21，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-18,1,极度推荐,1,87.0,85.8,67.9,100.0,86.0,100.0,100.0,0.0,54.8,80.4,605268,王力安防,65.5,1.48,54.8,53.06,多头,4.11,-5.22,当前仍站在20日线之上，20日线相对60日线高约3.6%，但短线均线结构还不算特别强。近20日上涨约4.1%，近5日约1.9%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.64，前期有明显缩量，而当前量比约1.06，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-18,2,极度推荐,2,84.9,82.9,66.8,95.0,96.0,81.1,95.0,0.0,67.2,84.2,002374,中锐股份,48.1,1.64,53.4,50.74,多头,0.32,-11.68,当前仍站在20日线之上，20日线相对60日线高约0.7%，但短线均线结构还不算特别强。近20日上涨约0.3%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.99，因此“底部缩量”的特征并不突出。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-18,3,极度推荐,3,84.1,82.4,63.5,100.0,91.0,83.1,95.0,0.0,38.3,74.4,600626,申达股份,59.7,-0.54,53.2,55.29,多头,4.55,-2.13,当前仍站在20日线之上，20日线相对60日线高约5.6%，但短线均线结构还不算特别强。近20日上涨约4.5%，近5日约2.5%，上涨速度相对温和，没有明显进入加速末端。近期量能没有明显收缩，5/20成交量比约1.03，因此“底部缩量”的特征并不突出。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-18,4,极度推荐,4,83.6,82.3,59.0,100.0,91.0,88.1,100.0,0.4,48.0,79.5,000718,苏宁环球,68.5,3.61,61.1,58.51,多头,7.49,-5.19,当前仍站在20日线之上，20日线相对60日线高约4.5%，但短线均线结构还不算特别强。近20日上涨约7.5%，近5日约4.1%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.49，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-18,5,极度推荐,5,83.0,82.0,66.8,65.0,100.0,96.1,100.0,0.0,61.2,86.0,002067,景兴纸业,62.4,1.49,53.5,47.06,多头,2.0,-15.15,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.70，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-21,1,极度推荐,1,90.0,88.8,67.1,100.0,100.0,100.0,100.0,0.0,51.3,84.8,605136,丽人丽妆,87.7,1.42,53.7,56.42,多头,8.6,-6.12,当前仍站在20日线之上，20日线相对60日线高约6.2%，但短线均线结构还不算特别强。近20日上涨约8.6%，近5日约2.3%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.14，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-21,2,极度推荐,2,88.9,87.5,68.3,100.0,100.0,92.1,100.0,0.0,57.5,84.7,002291,遥望科技,89.6,1.99,55.6,54.81,多头,11.02,-9.76,当前仍站在20日线之上，20日线相对60日线高约6.0%，但短线均线结构还不算特别强。近20日上涨约11.0%，近5日约2.4%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.22，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-21,3,极度推荐,3,88.2,87.2,65.7,95.0,100.0,98.1,100.0,0.0,36.5,81.2,600433,冠豪高新,83.1,2.11,52.3,52.9,多头,4.0,-3.7,当前仍站在20日线之上，20日线相对60日线高约2.0%，但短线均线结构还不算特别强。近20日上涨约4.0%，近5日约2.1%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.80，量能处于收缩状态，但当前量比约1.36，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-21,4,极度推荐,4,86.1,84.4,64.4,95.0,100.0,84.1,100.0,0.0,54.7,83.9,600527,江南高纤,64.0,2.27,51.1,52.95,多头,3.69,-3.43,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约3.7%，近5日约0.9%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.85，量能处于收缩状态，但当前量比约1.34，启动力度还需要继续观察。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-21,5,极度推荐,5,84.6,83.4,62.6,80.0,100.0,96.1,100.0,0.0,52.2,84.7,601789,宁波建工,68.1,1.45,48.4,46.45,多头,0.24,-14.63,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.64，前期有明显缩量，而当前量比约1.28，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-22,1,极度推荐,1,86.3,85.3,68.2,85.0,100.0,94.1,100.0,0.0,29.3,80.6,000917,电广传媒,61.8,1.14,55.2,52.55,多头,1.57,-10.9,当前仍站在20日线之上，20日线相对60日线高约2.4%，但短线均线结构还不算特别强。近20日上涨约1.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.57，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-09-23,1,极度推荐,1,87.4,89.0,76.4,85.0,100.0,84.1,100.0,0.0,59.0,82.8,000626,远大控股,71.7,1.52,65.4,58.25,多头,13.99,-10.76,当前仍站在20日线之上，20日线相对60日线高约18.1%，但短线均线结构还不算特别强。近20日上涨约14.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.63，前期有明显缩量，而当前量比约1.17，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-23,2,极度推荐,2,87.3,85.9,68.2,95.0,96.0,93.1,100.0,0.0,37.4,79.8,002562,兄弟科技,46.0,1.01,55.6,54.45,多头,1.22,-5.5,当前仍站在20日线之上，20日线相对60日线高约5.7%，但短线均线结构还不算特别强。近20日上涨约1.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.79，前期有明显缩量，而当前量比约1.42，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-09-24,1,极度推荐,1,86.4,87.4,75.2,100.0,87.0,86.7,95.0,0.0,50.3,73.5,000635,英力特,50.6,0.67,64.0,58.9,多头,14.18,-11.36,当前收盘7.49，短中期均线呈多头排列，20日线高于60日线约11.5%，属于趋势保持较好的抬升结构。近20日上涨约14.2%，近5日约4.9%，上涨速度相对温和，没有明显进入加速末端。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。当前位置约处于近120日区间65%位置，离阶段高位已经不算远，需要防止“看起来低价、实际上高位”。
2026-09-24,2,极度推荐,2,82.2,83.0,70.3,95.0,100.0,65.1,70.0,0.0,29.6,74.8,000785,居然智家,48.8,1.77,58.7,52.88,多头,2.22,-4.56,当前仍站在20日线之上，20日线相对60日线高约3.0%，但短线均线结构还不算特别强。近20日上涨约2.2%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约1.30，因此“底部缩量”的特征并不突出。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
